text,audio_path,start_time,end_time,duration
ما باليد حيلة,dataset\audio\segment_0268.wav,1287.25,1288.0,0.75
يا إلهي يا بابا علي ما أصابنا هذه المرة فظيع,dataset\audio\segment_0269.wav,1316.25,1319.25,3.0
مات أباؤنا,dataset\audio\segment_0270.wav,1321.0,1322.75,1.75
وفقدنا أبناءنا,dataset\audio\segment_0271.wav,1324.5,1325.75,1.25
وحدي من نجا,dataset\audio\segment_0272.wav,1327.5,1330.25,2.75
فقدت كل عائلتي,dataset\audio\segment_0273.wav,1332.5,1333.75,1.25
لا بأس في الأمر لا يحز ذلك في أنفسكم,dataset\audio\segment_0274.wav,1334.5,1337.25,2.75
فهؤلاء الأموات أحياء عند ربهم يرزقون,dataset\audio\segment_0275.wav,1337.5,1341.25,3.75
سيغفر ذنوبهم ويدخلهم الجنة بإذنه تعالى,dataset\audio\segment_0276.wav,1341.5,1348.25,6.75
ونعم بالله,dataset\audio\segment_0277.wav,1349.75,1350.75,1.0
لكن حرقة الموت صعبة,dataset\audio\segment_0278.wav,1351.75,1353.25,1.5
هذا الرجل بدوره,dataset\audio\segment_0279.wav,1355.25,1356.5,1.25
مات اثنان من أبنائه,dataset\audio\segment_0280.wav,1357.5,1359.0,1.5
والزوجة,dataset\audio\segment_0281.wav,1360.0,1361.0,1.0
قضوا جميعا تحت التراب وقد أخرجناه من تحته,dataset\audio\segment_0282.wav,1362.0,1365.5,3.5
ولولا الطف الله لكان قضى بدوره,dataset\audio\segment_0283.wav,1366.5,1370.25,3.75
لم ينذركم ذلك بالهروب ومغادرة بيوتكم,dataset\audio\segment_0284.wav,1371.0,1374.0,3.0
لا تناولنا وجبة العشاء,dataset\audio\segment_0285.wav,1374.75,1378.0,3.25
وبينما كنا نستعد للنوم,dataset\audio\segment_0286.wav,1380.0,1381.75,1.75
سمعنا ذلك مثل الرعد تحت الأرض,dataset\audio\segment_0287.wav,1383.0,1385.5,2.5
فشرعت الحيطان في الانهيار علينا,dataset\audio\segment_0288.wav,1387.0,1389.0,2.0
وتوفي أبنائي أنذاك,dataset\audio\segment_0289.wav,1390.25,1392.25,2.0
أما زوجتي,dataset\audio\segment_0290.wav,1394.0,1395.5,1.5
"صلاة الفجر
فماتت
بعد",dataset\audio\segment_0291.wav,1398.25,1400.0,1.75
اختنقت من شدة الركام,dataset\audio\segment_0292.wav,1401.75,1403.5,1.75
اعتقدت أن بيتي الوحيد الذي انهار,dataset\audio\segment_0293.wav,1405.25,1407.25,2.0
حتى انتشلوني في الصباح,dataset\audio\segment_0294.wav,1408.5,1410.25,1.75
فوجدت البلدة قد أصبحت ركامات,dataset\audio\segment_0295.wav,1413.0,1415.25,2.25
مصيبتكم هذه تدمي القلب لكن لا مرد لقضاء الله,dataset\audio\segment_0296.wav,1416.0,1422.5,6.5
أخبرني وماذا عن عمتي ماماس,dataset\audio\segment_0297.wav,1423.75,1427.5,3.75
تعالى معي لأريك إياها,dataset\audio\segment_0298.wav,1428.0,1429.25,1.25
هيا تعالى من هنا,dataset\audio\segment_0299.wav,1429.5,1430.75,1.25
من هنا,dataset\audio\segment_0300.wav,1431.5,1432.5,1.0
بل سأذلك على قبرها أما البيت فقد انهار,dataset\audio\segment_0301.wav,1433.25,1436.75,3.5
"الله أكبر هل ماتت هيا
أيضا؟",dataset\audio\segment_0302.wav,1437.0,1440.5,3.5
رحمكم الله يا أحبتنا رحلتم وتركتم لنا الألم,dataset\audio\segment_0303.wav,1443.0,1447.75,4.75
أه يا بابا علي,dataset\audio\segment_0304.wav,1453.25,1455.25,2.0
تبكي,dataset\audio\segment_0305.wav,1457.25,1458.5,1.25
ويبكي معك هذا الزمان كله,dataset\audio\segment_0306.wav,1459.5,1462.0,2.5
خلف الزلزال آلاف الضحايا,dataset\audio\segment_0307.wav,1464.0,1468.25,4.25
دمر الزلزال الجموع وفرق بين العائلات,dataset\audio\segment_0308.wav,1470.25,1475.25,5.0
و قسم العائلات,dataset\audio\segment_0309.wav,1477.5,1479.0,1.5
